City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Vermilion,US,81.19,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
403,Galesong,ID,78.82,few clouds,-5.3166,119.3661,Sapriadi Appy
407,Clarksville,US,81.34,clear sky,36.5298,-87.3595,Riverview Inn
409,Palmas,BR,85.87,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
412,Santiago,CL,77.29,haze,-33.4569,-70.6483,Hotel Panamericano
415,Santa Ines,BR,79.25,light rain,-3.6667,-45.38,Palace hotel
419,Belmonte,BR,84.24,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
422,Gwadar,PK,81.55,overcast clouds,25.1216,62.3254,Sadaf Resort
425,Virginia Beach,US,78.85,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
426,Laem Sing,TH,86.14,clear sky,12.4816,102.0738,Laemsing Whitehouse Resort
430,Barh,IN,89.98,clear sky,25.4833,85.7167,Rasulla
431,Avera,US,77.38,clear sky,33.194,-82.5271,
432,Florianopolis,BR,78.62,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
433,Grand Gaube,MU,76.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
435,Black River,JM,81.55,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
437,Topolobampo,MX,76.91,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
446,Bubaque,GW,77.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
448,Powell,US,82.67,clear sky,40.1578,-83.0752,The Brig
449,Johnstown,US,78.44,clear sky,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
453,Miramar,US,84.22,broken clouds,25.9873,-80.2323,Stadium Hotel
454,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
456,Nakhon Ratchasima,TH,87.06,scattered clouds,15.0,102.1667,U-Sabai Park Hotel & Resort
464,Sabancuy,MX,87.85,clear sky,18.9667,-91.1833,pulpo
472,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
477,Imbituba,BR,75.85,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
479,Banjar,ID,78.53,broken clouds,-8.19,114.9675,The Hamsa Resort
483,Monrovia,LR,87.57,overcast clouds,6.3005,-10.7969,Sunset Inn
484,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
485,Puerto Escondido,MX,87.78,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
486,Jieshi,CN,78.94,clear sky,22.8134,115.8257,Yuehai Hotel
487,Governador Dix-Sept Rosado,BR,85.37,moderate rain,-5.4577,-37.5209,clovis olveira
489,Suba,PH,84.06,overcast clouds,10.8438,121.0102,Jarnchi Pension House
490,Tonantins,BR,86.2,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
492,Najran,SA,82.94,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
493,Tautira,PF,78.26,moderate rain,-17.7333,-149.15,Pension Oaoa
496,Cairns,AU,76.95,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
498,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
499,Fare,PF,79.61,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
500,Mayumba,GA,79.56,light rain,-3.432,10.6554,LIKWALE LODGE
502,Del Rio,US,78.91,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
505,Impfondo,CG,76.73,moderate rain,1.6381,18.0667,Auberge La Place de Jules
506,Boyolangu,ID,77.2,overcast clouds,-8.1181,111.8935,Yos ega cv
507,Arsikere,IN,82.4,overcast clouds,13.3139,76.2561,KPS Comforts
508,Sabang,ID,84.81,overcast clouds,5.8933,95.3214,Hotel Citra
509,Acajutla,SV,86.94,clear sky,13.5928,-89.8275,Laureles
513,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
514,Vanimo,PG,76.57,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
516,Kieta,PG,79.97,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
518,Miri,MY,78.67,light rain,4.4148,114.0089,"Mega Hotel, Miri"
520,Touros,BR,81.52,heavy intensity rain,-5.1989,-35.4608,INN NEW HORIZON
521,Masuguru,TZ,77.07,overcast clouds,-11.3667,38.4167,
525,Savannah Bight,HN,79.45,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
532,Jilib,SO,81.55,scattered clouds,0.4883,42.7854,Waadi Hotel
536,Abnub,EG,81.36,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
539,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
541,Beira,MZ,75.38,clear sky,-19.8436,34.8389,Beira Terrace Hotel
543,Jefferson City,US,81.7,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
544,Aswan,EG,86.9,clear sky,24.0934,32.907,Nuba Nile
546,Tomatlan,MX,88.07,clear sky,19.9333,-105.25,El Salvial
550,Bengkulu,ID,75.9,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
551,San Luis,AR,75.09,broken clouds,-33.295,-66.3356,Huarpes Hotel
553,Matara,LK,79.75,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
554,Gerash,IR,82.54,overcast clouds,27.6652,54.1371,Sa'adat House Gerash
557,Ambilobe,MG,75.69,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
562,Caibarien,CU,83.52,scattered clouds,22.5206,-79.4669,La Nena
564,Ashland,US,79.99,scattered clouds,40.8167,-82.2665,SureStay
573,Nabire,ID,75.54,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
579,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
581,Sardarshahr,IN,87.28,clear sky,28.4333,74.4833,Hotel Moti Mahal
584,Razole,IN,82.35,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
