City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Merrill,US,45.1805,-89.6835,67.77,83,40,11.5,scattered clouds
204,Zhigansk,RU,66.7697,123.3711,3.25,99,46,6.89,scattered clouds
205,Manaus,BR,-3.1019,-60.025,88.29,66,40,8.05,scattered clouds
206,Preobrazheniye,RU,42.9019,133.9064,42.55,77,22,5.93,few clouds
207,Ballina,AU,-28.8667,153.5667,62.02,99,98,10.63,overcast clouds
208,Hamilton,US,39.1834,-84.5333,82.6,48,0,16.11,clear sky
209,Wenchi,GH,7.7392,-2.1046,91.47,43,73,3.24,broken clouds
210,Businga,CD,3.3333,20.8833,78.15,79,96,4.74,light rain
211,Dubrovnik,HR,42.6481,18.0922,62.24,77,20,5.75,few clouds
212,Taoudenni,ML,22.6783,-3.9836,93.11,7,20,14.81,few clouds
213,Sumbe,AO,-11.2061,13.8437,78.15,86,100,6.87,overcast clouds
214,Mandasa,IN,18.8667,84.4667,82.08,75,84,8.61,broken clouds
215,Koson,UZ,39.0375,65.585,75.52,37,99,2.13,overcast clouds
216,Torbay,CA,47.6666,-52.7314,41.29,83,96,5.99,overcast clouds
217,Husavik,IS,66.0449,-17.3389,51.94,58,13,3.15,few clouds
218,Guerrero Negro,MX,27.9769,-114.0611,63.45,55,0,21.23,clear sky
219,Jamame,SO,0.0722,42.7506,82.62,75,20,12.37,few clouds
220,Hillsborough,US,37.5741,-122.3794,62.22,70,20,3.44,few clouds
221,Port Keats,AU,-14.25,129.55,77.86,38,100,7.9,overcast clouds
222,Hambantota,LK,6.1241,81.1185,80.96,80,98,3.91,overcast clouds
223,Tabas,IR,33.5959,56.9244,81.32,25,37,14.65,scattered clouds
224,Santa Ana,US,33.7456,-117.8678,68.41,60,0,4.61,clear sky
225,Jega,NG,12.2175,4.3792,106.68,12,71,0.76,broken clouds
226,Kyra,RU,49.5776,111.9753,32.85,59,51,3.94,broken clouds
227,Kahului,US,20.8947,-156.47,74.84,76,40,8.01,scattered clouds
228,Mbinga,TZ,-10.9333,35.0167,62.83,95,54,2.01,broken clouds
229,Port Macquarie,AU,-31.4333,152.9167,58.89,100,40,0.0,scattered clouds
230,Nuuk,GL,64.1835,-51.7216,36.21,93,75,6.91,broken clouds
231,Rawson,AR,-43.3002,-65.1023,62.89,25,40,34.52,scattered clouds
232,Araouane,ML,18.9048,-3.5265,95.13,6,39,16.11,scattered clouds
233,Deer Lake,CA,49.1667,-57.4316,37.92,100,100,1.83,overcast clouds
234,Zharkent,KZ,44.1628,80.0,66.54,38,61,4.29,broken clouds
235,Axim,GH,4.8699,-2.2405,83.86,74,91,9.08,overcast clouds
236,Coaticook,CA,45.1334,-71.7991,45.3,32,85,8.68,overcast clouds
237,Metro,ID,-5.1131,105.3067,74.82,95,95,3.27,overcast clouds
238,Champerico,GT,14.3,-91.9167,86.22,59,5,6.89,clear sky
239,Ahipara,NZ,-35.1667,173.1667,61.7,72,23,12.28,few clouds
240,Zeya,RU,53.75,127.2667,27.88,89,43,6.4,scattered clouds
241,Mehamn,NO,71.0357,27.8492,38.62,95,100,17.4,overcast clouds
